EmployeeID,DeptID,SiteID,JobClass,AttritionRiskScore,RiskTier
EMP-100806,DEPT-04,SITE-03,Account Executive,0.33,Medium
EMP-100807,DEPT-05,SITE-04,Maintenance Technician,0.16,Low
EMP-100808,DEPT-06,SITE-01,EHS Specialist,0.29,Medium
EMP-100809,DEPT-07,SITE-02,Contracts Administrator,0.11,Low
EMP-100810,DEPT-08,SITE-03,Assembler,0.11,Low
EMP-100811,DEPT-09,SITE-04,CNC Machinist,0.07,Low
EMP-100812,DEPT-10,SITE-01,Quality Inspector,0.27,Medium
EMP-100813,DEPT-11,SITE-02,Manufacturing Engineer,0.33,Medium
EMP-100814,DEPT-01,SITE-03,Design Engineer,0.14,Low
EMP-100815,DEPT-02,SITE-04,Test Engineer,0.33,Medium
EMP-100816,DEPT-03,SITE-01,Buyer,0.28,Medium
EMP-100817,DEPT-04,SITE-02,Financial Analyst,0.34,Medium
EMP-100818,DEPT-05,SITE-03,HR Generalist,0.33,Medium
EMP-100819,DEPT-06,SITE-04,IT Support,0.34,Medium
